currency,geo\time	2019S1 	2018S2 	2018S1 	2017S2 	2017S1 	2016S2 	2016S1 	2015S2 	2015S1 	2014S2 	2014S1 	2013S2 	2013S1 	2012S2 	2012S1 	2011S2 	2011S1 	2010S2 	2010S1 	2009S2 	2009S1 	2008S2 	2008S1 	2007S2 	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 
PPS,IE	1302.36 e	1269.14 e	1269.14 e	1229.27	1229.27	1242.74	1242.74	1211.69	1211.69	1189.78	1189.78	1212.5	1212.5	1239.51	1239.51	1229.88	1229.88	1239.09	1239.09	1176.77	1176.77	1155.46	1155.46	1207.29	1158.44	1070.56	1070.56	1075.26	983.9	977.64	886.86	881.04	881.04	845.16	845.16	881.91	825.77	857.36	: z	: z	: z
PPS,IS	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,IT	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,LT	859.950 e	619.790 e	619.790 e	588.8	588.8	606.21	558.35	539.12	497.65	466.6	466.6	460.31	460.31	365.44	365.44	361.42	361.42	367.33	367.33	354.75	354.75	360.08	360.08	345.05	295.76	308.66	282.94	299.24	272.04	280.42	252.38	244.25	244.25	234.88	234.88	227.53	227.53	226.56	226.56	219.82	219.82
PPS,LU	1645.55 e	1587.93 e	1587.93 e	1587.93	1587.93	1563.95	1563.95	1629.81	1629.81	1589.77	1589.77	1557.08	1557.08	1513.01	1513.01	1463.83	1463.83	1444.13	1408.92	1425.11	1390.37	1423.75	1389.03	1425.73	1425.73	1397.33	1397.33	1352.61	1352.61	1280.84	1280.84	1281.12	1281.12	1257.94	1227.25	1214.76	1185.14	1179.31	1150.57	1107.6	1107.6
PPS,LV	590.840 e	590.840 e	590.840 e	522.14	522.14	516.51	516.51	523.62	523.62	452.36	452.36	404.21	404.21	401.23	401.23	397.52	397.52	370.41	370.41	343.69	343.69	301.04	301.04	250.62	250.62	207.15	207.15	205.3	205.3	220.34	220.34	204.03	204.03	186.14	186.14	191.1	159.25	157.3	157.3	154.71	154.71
PPS,ME	: 	: 	: 	: 	518.1	536.03	536.03	545.6	545.6	528.13	528.13	516.14	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PPS,MK	: 	: 	: 	: 	499.9	513.63	493.28	502.09	471.72	459.37	459.37	418.99	418.99	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,MT	927.57 e	915.2 e	915.2 e	900.62	900.62	895.92	895.92	913.37	913.37	890.69	890.69	863.82	863.82	869.83	869.83	840.09	840.09	845.78	845.78	797.4	797.4	797	797	807.69	807.69	780.12	780.12	779.38	779.38	754.35	754.35	747.96	747.96	709.51	709.51	696.91	696.91	691.16	691.16	672.66	672.66
PPS,NL	1441.53 e	1422.26 e	1407.81 e	1396.57	1384.26	1382.13	1370.8	1405.36	1399.77	1365.75	1356.98	1357.09	1349.37	1350.23	1341.33	1318.33	1308.41	1315.69	1307.89	1312.77	1296.44	1324.47	1303.38	1323.8	1307.52	1271.09	1259.21	1242.46	1242.46	1224.45	1224.45	1201.23	1186.41	1228.25	1203.12	1177.07	1151.24	1139.43	1120.14	1074.29	1060.14
